"Country Name","Country Code","Indicator Name","Indicator Code","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Oman","OMN","GDP growth","GDPG","6.04","8.48","6.15","3.84","4.82","2.91","6.18","2.7","-0.61","4.64","5.56","2.07","0.35","3.41","3.99","5.53","6.73","13.17","3.27","5.59","4.49","4.99","5.07","3.4","3.36","3.77","3.84","3.6","3.65",
"Pakistan","PAK","GDP growth","GDPG","5.42","7.57","2.1","4.37","5.06","6.6","1.7","3.49","4.18","3.91","1.97","3.11","4.73","7.48","8.96","5.82","5.54","4.99","0.36","2.58","3.66","4.36","3.62","3.1","3.7","3.91","4.7","5.02","5.02",
"Panama","PAN","GDP growth","GDPG","9.42","8.2","5.46","2.85","1.75","7.37","8.17","5.64","3.92","2.72","0.57","2.23","4.21","7.52","7.19","8.53","12.11","10.12","3.86","7.45","10.86","10.8","8","7.2","6.9","6.41","6.2","5.91","5.81",
"Paraguay","PRY","GDP growth","GDPG","2.51","1.7","4.94","5.32","6.82","1.57","4.24","0.07","-1.37","-2.31","-0.83","-0.02","4.32","4.06","2.13","4.81","5.42","6.36","-3.97","13.09","4.34","-1.24","13","4.8","4.5","4.5","4.5","4.5","4.5",
"Peru","PER","GDP growth","GDPG","2.11","-0.43","4.76","12.82","8.61","2.52","6.86","-0.66","0.91","2.95","0.22","5.02","4.04","4.98","6.83","7.74","8.91","9.8","0.86","8.76","6.86","6.28","5.02","5.52","5.81","5.8","5.8","5.8","5.8",
"Philippines","PHL","GDP growth","GDPG","-0.58","0.34","2.12","4.39","4.68","5.85","5.18","-0.58","3.08","4.41","2.89","3.65","4.97","6.7","4.78","5.24","6.62","4.15","1.15","7.63","3.64","6.82","7.16","6.47","6.5","6.21","6.01","6.02","6.02",
"Poland","POL","GDP growth","GDPG","-7","2.03","4.29","5.24","6.73","6.24","7.09","4.98","4.52","4.26","1.21","1.44","3.87","5.34","3.62","6.23","6.79","5.13","1.63","3.88","4.52","1.94","1.55","3.09","3.3","3.35","3.54","3.59","3.62",
"Portugal","PRT","GDP growth","GDPG","3.37","3.13","-0.69","1.49","2.31","3.62","4.41","5.14","4.07","3.92","1.98","0.76","-0.91","1.56","0.78","1.45","2.37","-0.01","-2.91","1.94","-1.25","-3.23","-1.35","1.17","1.45","1.68","1.8","1.84","1.84",
"Qatar","QAT","GDP growth","GDPG","-1.66","11.33","-1.33","1.42","2.4","4.37","30.01","11.22","4.28","8.03","3.9","7.18","3.72","19.22","7.49","26.17","17.98","17.66","11.96","16.73","12.96","6.24","6.13","5.87","7.08","7.41","7.17","6.58","6.42",
"Republic of Moldova","MDA","GDP growth","GDPG","-34.11","-29.7","-1.2","-30.9","-1.43","-5.88","1.64","-6.54","-3.36","2.11","6.14","7.81","6.62","7.36","7.47","4.79","3","7.8","-6","7.09","6.8","-0.73","8.85","3.5","4.5","4.5","4","4","4",
"Romania","ROM","GDP growth","GDPG","-12.93","-8.77","1.53","3.93","7.14","3.95","-6.05","-4.82","-1.15","2.92","5.68","5.08","5.24","8.49","4.15","7.88","6.32","7.35","-6.58","-1.15","2.16","0.69","3.48","2.24","2.49","2.89","3.36","3.47","3.52",
"Russian Federation","RUS","GDP growth","GDPG","-5","-14.5","-8.7","-12.7","-4.1","-3.61","1.38","-5.34","6.35","10.05","5.09","4.74","7.25","7.15","6.39","8.15","8.54","5.25","-7.8","4.5","4.3","3.4","1.28","1.33","2.32","2.5","2.5","2.5","2.5",
"Saudi Arabia","SAU","GDP growth","GDPG","9.1","4.63","0.03","0.67","0.2","3.38","2.59","2.84","-0.75","4.87","0.55","0.13","7.66","5.27","7.26","5.58","5.99","8.43","1.83","7.43","8.57","5.81","3.8","4.09","4.21","4.21","4.24","4.24","4.28",
"Senegal","SEN","GDP growth","GDPG","2.56","1.24","1.3","-0.02","5.36","2.01","3.12","5.9","6.35","3.2","4.58","0.66","6.68","5.87","5.61","2.47","4.94","3.68","2.42","4.27","2.07","3.45","4.05","4.57","4.82","5.13","5.11","5.14","5.16",
"Serbia","SRB","GDP growth","GDPG","-12.33","-6.12","-1.33","1.39","4.53","3.17","-1.31","3.5","-11.17","5.25","5.3","4.34","2.5","9.33","5.4","3.56","5.38","3.82","-3.51","1.01","1.57","-1.52","2.46","0.98","1.5","2","2.5","3","4",
"Singapore","SGP","GDP growth","GDPG","6.49","7.03","11.48","10.57","7.28","7.63","8.51","-2.17","6.2","9.04","-1.15","4.2","4.58","9.16","7.37","8.93","8.98","1.87","-0.6","15.06","6","1.9","4.08","3.63","3.63","3.63","3.61","3.71","3.78",
"Slovakia","SVK","GDP growth","GDPG","-0.98","-1.45","-0.75","6.21","7.87","6.94","4.45","4.36","0.04","1.37","3.48","4.58","4.78","5.06","6.66","8.35","10.49","5.75","-4.94","4.42","2.98","1.8","0.94","2.3","2.95","3.5","3.6","3.6","3.6",
"Slovenia","SVN","GDP growth","GDPG","-0.98","-1.45","2.8","5.3","4.1","3.6","4.96","3.52","5.33","4.27","2.94","3.83","2.93","4.4","4.01","5.85","6.96","3.38","-7.94","1.26","0.71","-2.54","-1.11","0.33","0.95","1.48","1.76","1.85","1.88",
"South Africa","ZAF","GDP growth","GDPG","-1.02","-2.14","1.23","3.23","3.12","4.31","2.65","0.52","2.36","4.16","2.73","3.67","2.95","4.55","5.28","5.6","5.55","3.62","-1.53","3.14","3.6","2.47","1.89","2.34","2.66","3.16","3.04","3.04","3.04",
